content,image,image_lowquality,images,images_lowquality,images_description,video,username,author,created_at
"T đã lấy tiền đi xây cầu cá tra 2 tầng thật sự. Bởi vì loài Thỏ ko đùa, lâu lâu nó chỉ xaolone thôi

#ThoBayMau #Tho7Mau",,https://scontent-ord5-2.xx.fbcdn.net/v/t15.5256-10/349056298_974614617269583_3976464769236495197_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=gwBegv-2lEQAX8RD4-8&_nc_ht=scontent-ord5-2.xx&oh=00_AfCff07q1Az3YdZtLV3OVSmBDG8lEk7A9l2aYhWPVAmZNA&oe=64A9FFF6,[],['https://scontent-ord5-2.xx.fbcdn.net/v/t15.5256-10/349056298_974614617269583_3976464769236495197_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=gwBegv-2lEQAX8RD4-8&_nc_ht=scontent-ord5-2.xx&oh=00_AfCff07q1Az3YdZtLV3OVSmBDG8lEk7A9l2aYhWPVAmZNA&oe=64A9FFF6'],[],https://video-ord5-2.xx.fbcdn.net/v/t42.1790-2/355871876_872359771190336_7031410017236318994_n.mp4?_nc_cat=102&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=I47OqO9_4F4AX-AWEFG&_nc_rml=0&_nc_ht=video-ord5-2.xx&oh=00_AfDaPunUKf_XRat5s_U7XXB2OThYDJQkR1jWkRMIUnAAvw&oe=64A830BA,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-30 12:54:07
"Thế Giới Pháp Thuật Vui Nhộn của Poca chưa ai đặt chân tới. Nhưng t thì đã đặt đít tới

#pocavietnam #poca #thegioiphapthuatvuinhon",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357368169_6949525158391402_5535783529378252278_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=YV1h7Y35krIAX-SxZii&_nc_ht=scontent-ord5-1.xx&oh=00_AfBabFWkfyz7Hs1zYUeWZB9MBmO12EGuUaftUnWzuRBO1w&oe=64A9F841,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357368169_6949525158391402_5535783529378252278_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=YV1h7Y35krIAX-SxZii&_nc_ht=scontent-ord5-1.xx&oh=00_AfDDHqv1dMHMvknmZrjOO2t5ZJzN_9yZkQb_RUUM2o3M-Q&oe=64A9F841,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357368169_6949525158391402_5535783529378252278_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=YV1h7Y35krIAX-SxZii&_nc_ht=scontent-ord5-1.xx&oh=00_AfBabFWkfyz7Hs1zYUeWZB9MBmO12EGuUaftUnWzuRBO1w&oe=64A9F841'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357368169_6949525158391402_5535783529378252278_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=YV1h7Y35krIAX-SxZii&_nc_ht=scontent-ord5-1.xx&oh=00_AfDDHqv1dMHMvknmZrjOO2t5ZJzN_9yZkQb_RUUM2o3M-Q&oe=64A9F841'],['Có thể là hình ảnh về kẹo và văn bản'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-30 04:00:52
"Giảm 50% khi đặt vé tại Vexere, giảm 100% khi tự đi xe máy về quê

#Vexere #xekhach #limousine",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356648263_6947436841933567_2881467003423265196_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=zU13zteyDgQAX-mBEWB&_nc_ht=scontent-ord5-1.xx&oh=00_AfBMcV3q9stzWfg8-fJgvK5vhmpB8zPDm7nxvTpIg4oi_A&oe=64A919D8,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356648263_6947436841933567_2881467003423265196_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=zU13zteyDgQAX-mBEWB&_nc_ht=scontent-ord5-1.xx&oh=00_AfBsJ2N0wfkziwL-YJ5pFWHwzXsESbLk5UxUa59T9I5KZw&oe=64A919D8,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356648263_6947436841933567_2881467003423265196_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=zU13zteyDgQAX-mBEWB&_nc_ht=scontent-ord5-1.xx&oh=00_AfBMcV3q9stzWfg8-fJgvK5vhmpB8zPDm7nxvTpIg4oi_A&oe=64A919D8'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356648263_6947436841933567_2881467003423265196_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=zU13zteyDgQAX-mBEWB&_nc_ht=scontent-ord5-1.xx&oh=00_AfBsJ2N0wfkziwL-YJ5pFWHwzXsESbLk5UxUa59T9I5KZw&oe=64A919D8'],"['Có thể là hình minh họa về xe môtô, đường phố và văn bản']",,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-29 12:01:26
"Đi cầu cá ko lo muỗi đốt côn trùng cắn, bôi Yoosun rau má sẽ làm dịu mọi vết sưng ngứa và không lo thâm sẹo. Còn vết thương trong lòng thì pha uống như rau má. Ko hết đau lòng nhưng sẽ đau bụng 😞

#Yoosunrauma #Matlanhlanda",https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356226192_6940496895960895_5994823220327628747_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-YHg6CqgvwIAX_kYcTN&_nc_ht=scontent-ord5-2.xx&oh=00_AfAoRhWaJuRGg3YOrX1iiIohGdU_Fd5NW5DGWr4AfrDqzQ&oe=64A8EBEA,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356226192_6940496895960895_5994823220327628747_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-YHg6CqgvwIAX_kYcTN&_nc_ht=scontent-ord5-2.xx&oh=00_AfCaNaHU1ux65GqZAKHm34_tOMoCW5PP9qOwSllw-FWGvA&oe=64A8EBEA,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356226192_6940496895960895_5994823220327628747_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-YHg6CqgvwIAX_kYcTN&_nc_ht=scontent-ord5-2.xx&oh=00_AfAoRhWaJuRGg3YOrX1iiIohGdU_Fd5NW5DGWr4AfrDqzQ&oe=64A8EBEA'],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356226192_6940496895960895_5994823220327628747_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=104&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-YHg6CqgvwIAX_kYcTN&_nc_ht=scontent-ord5-2.xx&oh=00_AfCaNaHU1ux65GqZAKHm34_tOMoCW5PP9qOwSllw-FWGvA&oe=64A8EBEA'],['Có thể là hình ảnh về văn bản'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-27 12:15:08
"Thông báo dời ngày up teaser tập 1 (Lỏ rồi)

Mọi người ơi do sự cố kỹ thuật (vợ thằng kỹ thuật đẻ) nên clip teaser sắp tới sẽ được dời qua ngày 30/6/2023. Xinloi mọi người nha.",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356833522_6939971229346795_7815503655967022056_n.png?_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=449zFjrJNb0AX8hZwEm&_nc_ht=scontent-ord5-1.xx&oh=00_AfBUfI3oJ59updaZL_wjo_BZZ1Lj4lYj4lUM1rXU0tzvyQ&oe=64A902DF,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356833522_6939971229346795_7815503655967022056_n.png?stp=dst-png_s320x320&_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=449zFjrJNb0AX8hZwEm&_nc_ht=scontent-ord5-1.xx&oh=00_AfBzT__QbeaAa_Loqla9lQR1cf3atWgBXNFXt1_pp2CUqg&oe=64A902DF,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356833522_6939971229346795_7815503655967022056_n.png?_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=449zFjrJNb0AX8hZwEm&_nc_ht=scontent-ord5-1.xx&oh=00_AfBUfI3oJ59updaZL_wjo_BZZ1Lj4lYj4lUM1rXU0tzvyQ&oe=64A902DF'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356833522_6939971229346795_7815503655967022056_n.png?stp=dst-png_s320x320&_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=449zFjrJNb0AX8hZwEm&_nc_ht=scontent-ord5-1.xx&oh=00_AfBzT__QbeaAa_Loqla9lQR1cf3atWgBXNFXt1_pp2CUqg&oe=64A902DF'],['Có thể là hình minh họa'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-27 08:44:14
"Chăm sóc tận răng khi niềng, ko còn mảng nghiệp bám khi đến với Nha Khoa Kim",https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356662128_6937197549624163_5580042973451260282_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=EMqAcyJPikMAX-M3d0h&_nc_ht=scontent-ord5-2.xx&oh=00_AfDfgoRhhxMokL8aBq01uOvFvAY59XdWdPStsYg3RGRlRQ&oe=64A8CADD,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356662128_6937197549624163_5580042973451260282_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=EMqAcyJPikMAX-M3d0h&_nc_ht=scontent-ord5-2.xx&oh=00_AfBUAb758AFf162ra6pI64Bgs5JeHS_3ftNjTMt6THCujQ&oe=64A8CADD,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356662128_6937197549624163_5580042973451260282_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=EMqAcyJPikMAX-M3d0h&_nc_ht=scontent-ord5-2.xx&oh=00_AfDfgoRhhxMokL8aBq01uOvFvAY59XdWdPStsYg3RGRlRQ&oe=64A8CADD'],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356662128_6937197549624163_5580042973451260282_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=EMqAcyJPikMAX-M3d0h&_nc_ht=scontent-ord5-2.xx&oh=00_AfBUAb758AFf162ra6pI64Bgs5JeHS_3ftNjTMt6THCujQ&oe=64A8CADD'],"[""Có thể là hình minh họa về \u200eảnh chụp X-quang, bệnh viện và \u200evăn bản cho biết '\u200eKIM DENTAL NHA KHOA KIM 1و\u200e'\u200e\u200e""]",,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-26 13:12:47
"Mọi người ơi t lại xuất hiện để cập nhật tình hình phim hoạt hình của chúng ta.
Biết mn đợi đã lâu, chúng ta sẽ leak teaser siu ngắn đầu tiên của tập tiếp theo vào lúc 8h00 thứ 3 ngày 27/6/2023. Tức là ngày mai tại fanpage Thỏ Bảy Màu. Đảm bảo mọi người sẽ hết hồn với chất lượng kì này :3",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356195195_6935969969746921_1365629541903803160_n.png?_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=1vBKTWjZMhUAX_fV7cH&_nc_ht=scontent-ord5-1.xx&oh=00_AfD21oNBmq3LuSmw5BqeMqZ6WMvPlmYufBdDor7tcBLPQA&oe=64A8829D,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356195195_6935969969746921_1365629541903803160_n.png?stp=dst-png_s320x320&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=1vBKTWjZMhUAX_fV7cH&_nc_ht=scontent-ord5-1.xx&oh=00_AfDxcUyi12MRTX-llpx85bHDbBg9Uj0lkKiXf1drhUacRA&oe=64A8829D,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356195195_6935969969746921_1365629541903803160_n.png?_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=1vBKTWjZMhUAX_fV7cH&_nc_ht=scontent-ord5-1.xx&oh=00_AfD21oNBmq3LuSmw5BqeMqZ6WMvPlmYufBdDor7tcBLPQA&oe=64A8829D'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356195195_6935969969746921_1365629541903803160_n.png?stp=dst-png_s320x320&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=1vBKTWjZMhUAX_fV7cH&_nc_ht=scontent-ord5-1.xx&oh=00_AfDxcUyi12MRTX-llpx85bHDbBg9Uj0lkKiXf1drhUacRA&oe=64A8829D'],['Có thể là hình ảnh về trò chơi điện tử và văn bản'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-26 04:20:44
"Giữa trời khói bụi trên con đường ô nhiễm bắt gặp nụ hôn viêm mũi dị ứng của anh chị t 😞

#ViemMuiDiUng #Fexofenadine #ONhiemKhongKhi",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/355492393_6927086257301959_34416867049774941_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=108&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=DK4JKjCgbAMAX-h_bNq&_nc_ht=scontent-ord5-1.xx&oh=00_AfB7mlvtU90TLM9OzdGO2TYSaIEjrd_UiC7XFmsyzUOm-w&oe=64A963C7,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/355492393_6927086257301959_34416867049774941_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=108&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=DK4JKjCgbAMAX-h_bNq&_nc_ht=scontent-ord5-1.xx&oh=00_AfBrk3Zi0yogLmdQoO8PnW1IgEnkfhfm1yrS_bGvmajG0Q&oe=64A963C7,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/355492393_6927086257301959_34416867049774941_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=108&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=DK4JKjCgbAMAX-h_bNq&_nc_ht=scontent-ord5-1.xx&oh=00_AfB7mlvtU90TLM9OzdGO2TYSaIEjrd_UiC7XFmsyzUOm-w&oe=64A963C7'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/355492393_6927086257301959_34416867049774941_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=108&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=DK4JKjCgbAMAX-h_bNq&_nc_ht=scontent-ord5-1.xx&oh=00_AfBrk3Zi0yogLmdQoO8PnW1IgEnkfhfm1yrS_bGvmajG0Q&oe=64A963C7'],['Có thể là hình vẽ ngẫu hứng về văn bản'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-23 12:31:26
"Ko thể chống lại sự căng tràn sức sống trắng sáng bùng cháy đến từ bộ mặt nạ MIRI mà t đã ăn cắp của ông nội cho chị t xài

#dapmatnamoilucmoinoi #miri",https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/355033093_6910557955621456_6800509564900272511_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=110&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=i6u3gwQ8_zcAX94rvTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfARflv5EhWPVLs2B_6ypXIoR0Aez4oBv-I-U32wLcspJw&oe=64A89422,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/355033093_6910557955621456_6800509564900272511_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=110&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=i6u3gwQ8_zcAX94rvTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfBOBorQB2nuGeoItSZCp6UayIust6r4oVwSxN1QNnCHGw&oe=64A89422,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/355033093_6910557955621456_6800509564900272511_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=110&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=i6u3gwQ8_zcAX94rvTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfARflv5EhWPVLs2B_6ypXIoR0Aez4oBv-I-U32wLcspJw&oe=64A89422'],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/355033093_6910557955621456_6800509564900272511_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=110&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=i6u3gwQ8_zcAX94rvTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfBOBorQB2nuGeoItSZCp6UayIust6r4oVwSxN1QNnCHGw&oe=64A89422'],['Không có mô tả ảnh.'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-19 03:36:55
"Mặt lưng kính, thiết kế trendy, yên tâm khóc trên màn hình khi nhận tin nhắn chia tay từ crush mà ko sợ bị hư điện thoại với tính năng kháng nước IP53 đến từ Redmi 12

#XiaomiVN #Redmi12 #BậtChấtThờiThượng",https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/354564826_6904897579520827_108757242774567480_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=7xSkAmiARgUAX-dJvho&_nc_ht=scontent-ord5-2.xx&oh=00_AfAmo-aVVx-SMzY4L32ZWq3av_BMqu2uYcxmX_3hzfq9ag&oe=64A9FA23,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/354564826_6904897579520827_108757242774567480_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=7xSkAmiARgUAX-dJvho&_nc_ht=scontent-ord5-2.xx&oh=00_AfApP5ZjnDaTUpfBEP_U5v8Yd01bXuqmlgPa7op8Fuv1hg&oe=64A9FA23,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/354564826_6904897579520827_108757242774567480_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=7xSkAmiARgUAX-dJvho&_nc_ht=scontent-ord5-2.xx&oh=00_AfAmo-aVVx-SMzY4L32ZWq3av_BMqu2uYcxmX_3hzfq9ag&oe=64A9FA23'],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/354564826_6904897579520827_108757242774567480_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=7xSkAmiARgUAX-dJvho&_nc_ht=scontent-ord5-2.xx&oh=00_AfApP5ZjnDaTUpfBEP_U5v8Yd01bXuqmlgPa7op8Fuv1hg&oe=64A9FA23'],['Có thể là hình ảnh về điện thoại và văn bản'],,Thỏ Bảy Màu,64a4e00235de73389c5bfcb8,2023-06-17 12:06:02
