content,image,image_lowquality,images,images_lowquality,images_description,video,username,author,created_at
"Mikelodic cùng CAPTAIN ""Về Quê"" trên nền piano.",,https://scontent-ord5-2.xx.fbcdn.net/v/t15.5256-10/358015713_1700692323702912_8996109425455559823_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=Vd0iYJYpKIoAX8WqUF7&_nc_ht=scontent-ord5-2.xx&oh=00_AfAZAaKSZX9jS90ZSCM9RZX1s5BGUVEdmTO-OScsp1t3fQ&oe=64A8C5B2,[],['https://scontent-ord5-2.xx.fbcdn.net/v/t15.5256-10/358015713_1700692323702912_8996109425455559823_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=105&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=Vd0iYJYpKIoAX8WqUF7&_nc_ht=scontent-ord5-2.xx&oh=00_AfAZAaKSZX9jS90ZSCM9RZX1s5BGUVEdmTO-OScsp1t3fQ&oe=64A8C5B2'],[],https://video-ord5-2.xx.fbcdn.net/v/t42.1790-2/356954186_316120814082891_2511510238446623597_n.mp4?_nc_cat=102&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=cQSAJ65-rwoAX97-eVj&tn=cQQkfqYPhH-SXiC6&_nc_rml=0&_nc_ht=video-ord5-2.xx&oh=00_AfD6p-bYBAIohLOsYf4g2G1qIyFxM3idePMf83XeKrlSig&oe=64A85537,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-04 11:50:41
"""I’ve been hiding it for so long, so long
I’ve been hiding it for so long...""

Nếu bạn đã quen với 'Quá Lâu' bản Việt thì hãy thử đổi gió nghe 'Quá Lâu (So Long) bản English của Vinh Khuất nhé.",,https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/355807926_979852740107258_7976850938974002122_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=DPguS_FCmZ4AX_7U5nJ&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfCBFXcqAoFjvpxQGdM_emC65e34IIBRU-NP32jv_LUETA&oe=64A9BB3B,[],['https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/355807926_979852740107258_7976850938974002122_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=101&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=DPguS_FCmZ4AX_7U5nJ&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfCBFXcqAoFjvpxQGdM_emC65e34IIBRU-NP32jv_LUETA&oe=64A9BB3B'],[],https://video-ord5-1.xx.fbcdn.net/v/t42.1790-2/356614490_531351795751250_4847076098991881089_n.mp4?_nc_cat=108&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=yb0A47mq5bAAX_U-XRx&_nc_rml=0&_nc_ht=video-ord5-1.xx&oh=00_AfDwvFTx1ZSIwtSuE7GSfPYv4Dwkpol6nNeIa5w5cENZIw&oe=64A86CAB,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-03 16:48:23
"""Nói em không nên dùng quá hai lần
Nói em chỉ nên dùng lúc em cần...""",,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358134780_645737217587931_2500994155141389692_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=unqGqptp3xsAX8O9LpN&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-2.xx&oh=00_AfABRK-6_3mteUZMcCSxX-qzQvSLunZVRYuaW02UFg1TLQ&oe=64A844E2,[],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358134780_645737217587931_2500994155141389692_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=100&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=unqGqptp3xsAX8O9LpN&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-2.xx&oh=00_AfABRK-6_3mteUZMcCSxX-qzQvSLunZVRYuaW02UFg1TLQ&oe=64A844E2'],[],,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-03 15:37:00
"Thuộc album phòng thu thứ 6 ""Chúng Ta Đều Muốn Một Thứ"" của Cá Hồi Hoang, 'Một Đời' mang những giai điệu nhẹ nhàng hát về những tâm sự của một người đã đi gần hết một đời người.

Từng mang trong mình những ướcXem thêm mơ hoài bão, nhưng rồi cũng phải rơi nước mắt trước những khó khăn trong cuộc sống. Để rồi con người đầy khát khao ấy mất dần niềm tin và để thời gian cuốn trôi mất cuộc đời của mình.

Để rồi cuối cùng nhận ra, sau một cuộc đời vất vả trong tay chẳng còn lại gì.

Dù chọn góc nhìn của một người lớn tuổi, thông điệp của album vẫn gần gũi và dễ chạm đến bất kỳ người nghe nào. Các ca khúc vẽ nên bức tranh muôn màu về cuộc sống. Đó là một mảnh ghép của nhiều ký ức, nhưng khi gộp lại chúng bỗng trở thành một vòng luẩn quẩn, ngột ngạt.

Từ khi sinh ra, con người luôn cố gắng theo đuổi những mơ ước đôi khi viển vông. Hành trình đôi lúc đó khiến ta mệt mỏi, bỗng vô tình quên đi những hạnh phúc nhỏ nhoi, tựa như lời hát trong ca khúc “Một đời”:

“Có lúc yếu đuối
Ta mất đi hoàn toàn niềm tin với
Cuộc đời và ngày hôm sau…”",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357698626_645724647589188_641932215481434326_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=LlerlxTALOcAX_UzvID&_nc_ht=scontent-ord5-1.xx&oh=00_AfCsT4PldOqua-G9XlTOmcC8sNrvtS4EOKKryLJ37MgG0g&oe=64A9BF56&manual_redirect=1,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357698626_645724647589188_641932215481434326_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=LlerlxTALOcAX_UzvID&_nc_ht=scontent-ord5-1.xx&oh=00_AfCaArkepY21cGPXlgRgtoq4i8xSO4u5hc8UNLCtojJzfQ&oe=64A9BF56,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357698626_645724647589188_641932215481434326_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=LlerlxTALOcAX_UzvID&_nc_ht=scontent-ord5-1.xx&oh=00_AfCsT4PldOqua-G9XlTOmcC8sNrvtS4EOKKryLJ37MgG0g&oe=64A9BF56&manual_redirect=1'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357698626_645724647589188_641932215481434326_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=LlerlxTALOcAX_UzvID&_nc_ht=scontent-ord5-1.xx&oh=00_AfCaArkepY21cGPXlgRgtoq4i8xSO4u5hc8UNLCtojJzfQ&oe=64A9BF56'],"[""Có thể là hình ảnh về 2 người và văn bản cho biết 'VIET-NAM INDIE 'Một Đời' -Cá Hồi Hoang khi một đời người được kể lại bằng những giai điệu'""]",,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-03 15:26:52
"Sau ca khúc 'Xúc Cảm Bộ Máy' kết hợp cùng Phùng Khánh Linh, Cá Hồi Hoang đã có những chia sẻ nhỏ về âm nhạc mà Cá đã làm và phát triển để gửi tới các bạn yêu nhạc:

""Nhạc của bọn mình không phải cho bọn mình,Xem thêm cũng không phải để giải trí mặc dù lâu lâu cũng giải trí cho vui đúng hông? Nhưng mình biết nó có ý nghĩa thế nào đối với bản thân bọn mình và có ý nghĩa thế nào đối với tất cả các bạn.

Cho nên bọn mình làm ra nhạc, viết ra lời để cho tất cả mọi người hiểu rằng mỗi khi mình cô đơn là ai cũng phải có lúc cô đơn đúng không, chả ai hiểu mình, chả ai quan tâm tới mình, chả ai công nhận mình. Bật nhạc lên cắm tai nghe vào và bọn mình sẽ ở với mọi người...""

- Ảnh: Ivan da Vodka -",,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357724208_645723637589289_6120286415619848580_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=aTmXbR6MzHYAX82Gl_6&_nc_ht=scontent-ord5-1.xx&oh=00_AfA8EE4-isczRaL4C6lSXIBA8TTJKZbnC649mztYzCYu4Q&oe=64A94879,[],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357724208_645723637589289_6120286415619848580_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=aTmXbR6MzHYAX82Gl_6&_nc_ht=scontent-ord5-1.xx&oh=00_AfA8EE4-isczRaL4C6lSXIBA8TTJKZbnC649mztYzCYu4Q&oe=64A94879'],[],,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-03 15:13:30
Dành cho mấy khứa vẫn còn vấn vương nyc nè.,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357447297_645046000990386_6429656371074515681_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=107&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=jN9thbXhZ0oAX8vVVkG&_nc_ht=scontent-ord5-2.xx&oh=00_AfDZNZ1HjkuRf_bJ10pTW3WZvCr77tjutWrq4XyabNDiJA&oe=64A9487D&manual_redirect=1,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357447297_645046000990386_6429656371074515681_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=107&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=jN9thbXhZ0oAX8vVVkG&_nc_ht=scontent-ord5-2.xx&oh=00_AfADc-N2zy66gJdwUqMLKLsfSApeS2psl7nDsTnysrxJBw&oe=64A9487D,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357447297_645046000990386_6429656371074515681_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=107&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=jN9thbXhZ0oAX8vVVkG&_nc_ht=scontent-ord5-2.xx&oh=00_AfDZNZ1HjkuRf_bJ10pTW3WZvCr77tjutWrq4XyabNDiJA&oe=64A9487D&manual_redirect=1'],['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357447297_645046000990386_6429656371074515681_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=107&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=jN9thbXhZ0oAX8vVVkG&_nc_ht=scontent-ord5-2.xx&oh=00_AfADc-N2zy66gJdwUqMLKLsfSApeS2psl7nDsTnysrxJBw&oe=64A9487D'],"[""Có thể là hình ảnh về 1 người và văn bản cho biết 'VIET-NAM INDIE DOM DĂMA Bỏ anh ta đi, bỏ anh ta đi Người đàn ông thật không ra gì Bỏ Anh Τα Vinh Khuat Vi'""]",,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-02 16:32:10
"Ổng đưa hẳn xe đạp lên sân khấu luôn mà =))))))
-
Ảnh: cam by 8 the theatre",https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357717480_645035090991477_825758308716633455_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=4uWfosT_4WkAX_ti70a&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfDFemuQj76kIrdVwN3MA6GJvZAN8zRcJEW5Zx8GOtLKpQ&oe=64A9D08D&manual_redirect=1,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357717480_645035090991477_825758308716633455_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=4uWfosT_4WkAX_ti70a&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfBoNAd1o9TRNGhL_ZSIcn-yZrBOBsyYm0umSnzmgppIvQ&oe=64A9D08D,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357717480_645035090991477_825758308716633455_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=4uWfosT_4WkAX_ti70a&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfDFemuQj76kIrdVwN3MA6GJvZAN8zRcJEW5Zx8GOtLKpQ&oe=64A9D08D&manual_redirect=1'],['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357717480_645035090991477_825758308716633455_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=4uWfosT_4WkAX_ti70a&tn=cQQkfqYPhH-SXiC6&_nc_ht=scontent-ord5-1.xx&oh=00_AfBoNAd1o9TRNGhL_ZSIcn-yZrBOBsyYm0umSnzmgppIvQ&oe=64A9D08D'],"[""Có thể là hình ảnh về 4 người và văn bản cho biết 'VIET-NAM INDIE Lần cuối đi xe đạp là có thật'""]",,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-02 16:18:25
Liên khúc 3 ca khúc đã đi cùng Hoàng Dũng trong suốt quá trình làm nghề 'Chờ Anh Nhé - Chẳng Nói Nên Lời - Yếu Đuối' được trình diễn trên sân khấu Yên Concert tại Hà Nội và Sài Gòn.,,https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/357663747_833788684829582_515780723090038504_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=sPZFa8PXqvAAX_Baw_m&_nc_ht=scontent-ord5-1.xx&oh=00_AfDg9rq4Y97N1UNw5PWBPtHB00vK2ab_lkv27bJYy7enPQ&oe=64A8C398,[],['https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/357663747_833788684829582_515780723090038504_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=109&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=sPZFa8PXqvAAX_Baw_m&_nc_ht=scontent-ord5-1.xx&oh=00_AfDg9rq4Y97N1UNw5PWBPtHB00vK2ab_lkv27bJYy7enPQ&oe=64A8C398'],[],https://video-ord5-1.xx.fbcdn.net/v/t42.1790-2/356428207_292673096607127_7539786188479447682_n.mp4?_nc_cat=101&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=oRAsxP7Tk2MAX-N7KUb&_nc_rml=0&_nc_ht=video-ord5-1.xx&oh=00_AfBFApAzmaSpwrYe0rBDVBzvgBsdcI53zywWcphPt6EEew&oe=64A9612A,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-02 15:54:02
"""Chỉ vì là một người đến sau
Em âm thầm mình em""

Bận Lòng - Pay",,https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/357889279_598642569046775_5115620384557107776_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=6hYV248a0I4AX8FZTjA&_nc_oc=AQmuo5j6vksyOJ5YtEDU8P6MjsFHUXmRW7Xw4L0kUWO9Q-Dx72QSCm-aJPsVtWUV3A4&_nc_ht=scontent-ord5-1.xx&oh=00_AfByc8G0KtSva30xxFTB-449m5_bmF2xKYyWTKwVWPQgJQ&oe=64A8F7E9,[],['https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/357889279_598642569046775_5115620384557107776_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=106&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=6hYV248a0I4AX8FZTjA&_nc_oc=AQmuo5j6vksyOJ5YtEDU8P6MjsFHUXmRW7Xw4L0kUWO9Q-Dx72QSCm-aJPsVtWUV3A4&_nc_ht=scontent-ord5-1.xx&oh=00_AfByc8G0KtSva30xxFTB-449m5_bmF2xKYyWTKwVWPQgJQ&oe=64A8F7E9'],[],https://video-ord5-1.xx.fbcdn.net/v/t42.1790-2/356401432_641717994542915_4452598656956903995_n.mp4?_nc_cat=109&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=RGSmuELVrYkAX9IFr5-&_nc_rml=0&_nc_ht=video-ord5-1.xx&oh=00_AfDbScQbHvkF-QENQf0qCtPGLA_HW_P9MUmOMP9OH6O3yA&oe=64A9A55E,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-02 14:18:32
"""Vì sao lại say good bye? Thấy sai sai
Oh, it's a badbye""

Ca khúc ""badbye"" của Wean được cover lại qua giọng hát ngọt ngào từ Manh.",,https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/345663413_1315089262731790_5737229233899702601_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=0Eo82vbI-R4AX8j2eU2&_nc_ht=scontent-ord5-1.xx&oh=00_AfCk-IvpYf4tLrx_WYHdIvK0L8_WINO1-Slg8EOAheFB6A&oe=64A9BD2A,[],['https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/345663413_1315089262731790_5737229233899702601_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=111&cb=99be929b-59f725be&ccb=1-7&_nc_sid=ccf8b3&efg=eyJpIjoidCJ9&_nc_ohc=0Eo82vbI-R4AX8j2eU2&_nc_ht=scontent-ord5-1.xx&oh=00_AfCk-IvpYf4tLrx_WYHdIvK0L8_WINO1-Slg8EOAheFB6A&oe=64A9BD2A'],[],https://video-ord5-1.xx.fbcdn.net/v/t42.1790-2/356218465_651775193504581_9117027391279159536_n.mp4?_nc_cat=111&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=309SGpoEdNAAX_RirZ_&_nc_oc=AQnwU7EimkY6Nsp3f3s5xuEOrSThO2WDTn-xmNxemEnvjcDlLKWvDn-O2kalTFMfXyY&_nc_rml=0&_nc_ht=video-ord5-1.xx&oh=00_AfANdOkK-DPAnT8Cifh8s4rzwvLcpV1yScW42m0dd3wUDg&oe=64A99660,Vietnam Indie Music,64a4e00235de73389c5bfcb8,2023-07-01 16:05:30
